hindi,awadhi
"जिनका कुन्दके पुष्प और चन्द्रमाके समान (गौर) शरीर है, जो पार्वतीजीके प्रियतम और दयाके धाम हैं और जिनका दीनोंपर स्नेह है, वे कामदेवका मर्दन करनेवाले (शह्लूरजी) मुझपर कृपा करें॥ ४ ॥",जाहि दीन पर नेह करठ कृपा मर्दन मयन॥ ४ ॥
"मैं उन गुरु महाराजके चरणकमलकी वन्दना करता हूँ, जो कृपाके समुद्र और नररूपमें श्रीहरि ही हैं और जिनके वचन महामोहरूपी घने अन्धकारके नाश करनेके लिये सूर्य-किरणोंके समूह हैं॥ ५ ॥",महामोह तम पुंज जासु बचन रबि कर निकर॥ ५ ॥
"मैं गुरु महाराजकं चरणकमलोंकी रजकी वन्दना करता हूँ, जो सुरुचि(सुन्दर स्वाद), सुगन्ध तथा अनुरागरूपी रससे पूर्ण है। वह अमर मूल (सञ्ञीवनी जड़ी)का सुन्दर चूर्ण है, जो सम्पूर्ण भवरोगोंके परिवारकों नाश करनेवाला है॥ १ ॥",अमिअ मूरिमय चूरन चारू। समन सकल भव रुज परिवारू॥ १ ॥
"वह रज सुकृती (पुण्यवान्‌ पुरुष) रूपी शिवजीके शरीरपर सुशोभित निर्मल विभूति है और सुन्दर कल्याण और आनन्दकी जननी है, भक्तके मनरूपी सुन्दर दर्पणके मैलको दूर करनेवाली और तिलक करनेसे गुणोंके समूहको वशमें करनेवाली है॥ २ ॥",जन मन मंजु मुकुर मल हरनी। किए तिलक गुन गन बस करनी॥ २ ॥
"श्रीगुरु महाराजके चरण-नखोंकी ज्योति मणियोंके प्रकाशके समान है, जिसके स्मरण करते ही हृदयमें दिव्य दृष्टि उत्पन्न हो जाती है। वह प्रकाश अज्ञानरूपी अन्धकारका नाश करनेवाला है; वह जिसके हृदयमें आ जाता है, उसके बड़े भाग्य हैं॥ ३ ॥",दलन मोह तम सो सप्रकासू। बड़े भाग उर आबवइ जासू॥ ३ ॥
"उसके हृदयमें आते ही हृदयके निर्मल नेत्र खुल जाते हैं और संसाररूपी रात्रिके दोष-दुःख मिट जाते हैं एवं श्रीरामचरित्ररूपी मणि और माणिक्य, गुप्त और प्रकट जहाँ जो जिस खानमें है, सब दिखायी पड़ने लगते हैं--॥ ४ ॥",सूझहिं राम चरित मनि मानिक। गुपुत प्रगट जहँ जो जेहि खानिक॥ ४ ॥
"जैसे सिद्धाज्ञनको नेत्रोंमें लगाकर साधक, सिद्ध और सुजान पर्वतों, वनों और पृथ्वीके अंदर  कौतुकसे ही बहुत-सी खानें देखते हैं॥ १ ॥",कौतुक देखत सैल बन भूतल भूरि निधान॥ १ ॥
"श्रीगुरु महाराजके चरणोंकी रज कोमल और सुन्दर नयनामृत-अञ्जन है, जो नेत्रोंके दोषोंका नाश करनेवाला है। उस अञ्जनसे विवेकरूपी नेत्रोंको निर्मल करके मैं संसाररूपी बन्धनसे छुड़ानेवाले श्रीरामचरित्रका वर्णन करता हूँ॥ १ ॥",तेहिंकरि बिमल बिबेक बिलोचन। बरनउऊँ राम चरित भव मोचन॥ १ ॥
"पहले पृथ्वीके देवता ब्राह्मणोंके चरणोंकी वन्दना करता हूँ, जो अज्ञानसे उत्पन्न सब संदेहोंको हरनेवाले हैं। फिर सब गुणोंकी खान संत-समाजको प्रेमसहित सुन्दर वाणीसे प्रणाम करता हूँ॥ २ ॥",सुजन समाज सकल गुन खानी। करउँ प्रनाम सप्रेम सुबानी॥ २ ॥
"संतोंका चरित्र कपासके चरित्र (जीवन)-के समान शुभ है, जिसका फल नीरस, विशद और गुणमय होता है। (कपासकी डोडी नीरस होती है, संत-चरित्रमें भी विषयासक्ति नहीं है, इससे वह भी नीरस है; कपास उज्जल होता है, संतका हृदय भी अज्ञान और पापरूपी अन्धकारसे रहित होता है, इसलिये वह विशद्‌ है, और कपासमें गुण (तन्तु) होते हैं, इसी प्रकार संतका चरित्र भी सदगुणोंका भण्डार होता है, इसलिये वह गुणमय है।) [जैसे कपासका धागा सूईके किये हुए छेदको अपना तन देकर ढक देता है, अथवा कपास जैसे लोढ़े जाने, काते जाने और बुने जानेका कष्ट सहकर भी वस्त्रके रूपमें परिणत होकर दूसरोंके गोपनीय स्थानोंको ढकता है उसी प्रकार] संत स्वयं दुःख सहकर दूसरोंके छिद्रों (दोषों )-को ढकता है, जिसके कारण उसने जगत्‌में वन्दनीय यश प्राप्त किया है॥ ३ ॥",जो सहि दुख परकछिद्र दुरावा। बंदनीय जेहिं जग जस पावा॥ ३ ॥
"संतोंका समाज आनन्द और कल्याणमय है, जो जगतूमें चलता-फिरता तीर्थराज (प्रयाग) है। जहाँ (उस संतसमाजरूपी प्रयागराजमें) रामभक्तिरूपी गड़गजीकी धारा है और ब्रह्मविचारका प्रचार सरस्वतीजी हैं॥ ४ ॥",राम भक्ति जहँ सुरसरि धारा। सरसइ ब्रह्म बिचार प्रचारा॥ ४ ॥
"विधि और निषेध (यह करो और यह न करो) रूपी कर्मोकी कथा कलियुगके पापोंको हरनेवाली सूर्यतनया यमुनाजी हैं और भगवान्‌ विष्णु और शड्भूरजीकी कथाएँ त्रिवेणीरूपसे सुशोभित हैं, जो सुनते ही सब आनन्द और कल्याणोंकी देनेवाली हैं॥ ५ ॥",हरि हर कथा बिराजति बेनी। सुनत सकल मुद मंगल देनी॥ ५ ॥
"[उस संतसमाजरूपी प्रयागमें] अपने धर्ममें जो अटल विश्वास है वह अक्षयवट है, और शुभकर्म ही उस तीर्थरजका समाज (परिकर) है। वह (संतसमाजरूपी प्रयागराज) सब देशोंमें, सब समय सभीको सहजहीमें प्राप्त हो सकता है और आदरपूर्वक सेवन करनेसे क्लेशोंको नष्ट करनेवाला है॥ ६ ॥",सबहि सुलभ सब दिन सब देसा। सेवत सादर समन कलेसा॥ ६ ॥
"वह तीर्थरज अलौकिक और अकथनीय है, एवं तत्काल फल देनेवाला है; उसका प्रभाव प्रत्यक्ष है॥ ७ ॥",अकथ अलौकिक तीरथराऊ। देह सद्य फल प्रगट प्रभाऊ॥ ७ ॥
"जो मनुष्य इस संत-समाजरूपी तीर्थराजका प्रभाव प्रसन्न मससे सुनते और समझते हैं और फिर अत्यन्त प्रेमपूर्वक इसमें गोते लगाते हैं, वे इस शरीरके रहते ही धर्म, अर्थ, काम, मोक्ष-- चारों फल पा जाते हैं॥ २ ॥",लहहिं चारि फल अछत तनु साधु समाज प्रयाग॥ २ ॥
"इस तीर्थराजमें स्नानका फल तत्काल ऐसा देखनेमें आता है कि कौए कोयल बन जाते हैं और बगुले हंस। यह सुनकर कोई आश्चर्य न करे, क्योंकि सत्संगकी महिमा छिपी नहीं है॥ १ ॥",सुनि आचरज करै जनि कोई। सतसंगति महिमा नहिं गोई॥ १ ॥
"वाल्मीकिजी, नारदजी और अगस्त्यजीने अपने-अपने मुखोंसे अपनी होनी(जीवनका वृत्तान्त) कही है। जलमें रहनेवाले, जमीनपर चलनेवाले और आकाशमें विचरनेवाले नाना प्रकारके जड़- चेतन जितने जीव इस जगत्‌में हैं,॥ २ ॥",जलचर थलचर नभचर नाना। जे जड़ चेतन जीव जहाना॥ २ ॥
"उनमेंसे जिसने जिस समय जहाँ कहीं भी जिस किसी यत्नसे बुद्धि, कीर्ति, सदगति, विभूति (ऐश्वर्य) और भलाई पायी है, सो सब सत्संगका ही प्रभाव समझना चाहिये। वेदोंमें और लोकमें इनकी प्राप्तिका दूसरा कोई उपाय नहीं है॥ ३ ॥",सो जानब सतसंग प्रभाऊ। लोकहूँ बेद न आन उपाऊ॥ ३ ॥
सत्संगके बिना विवेक नहीं होता और श्रीरामजीकी कृपाके बिना वह सत्संग सहजमें मिलता नहीं। सत्संगति आनन्द और कल्याणकी जड़ है। सत्संगकी सिद्धि (प्राप्त) ही फल है और सब साधन तो फूल हैं॥ ४ ॥,सतसंगत मुद मंगल मूला। सोइ फल सिधि सब साधन फूला॥ ४ ॥
"दुष्ट भी सत्संगति पाकर सुधर जाते हैं, जैसे पारसके स्पर्शसे लोहा सुहावना हो जाता है (सुन्दर सोना बन जाता है)। किन्तु दैवयोगसे यदि कभी सज्जन कुसंगतिमें पड़ जाते हैं, तो वे वहाँ भी साँपकी मणिके समान अपने गुणोंका ही अनुसरण करते हैं (अर्थात्‌ जिस प्रकार साँपका संसर्ग पाकर भी मणि उसके विषको ग्रहण नहीं करती तथा अपने सहज गुण प्रकाशको नहीं छोड़ती, उसी प्रकार साधु पुरुष दुष्टोंक संगमें रहकर भी दूसरोंको प्रकाश ही देते हैं, दुष्टोंका उनपर कोई प्रभाव नहीं पड़ता)॥ ५ ॥",बिधि बस सुजन कुसंगत परहीं। फनि मनि सम निज गुन अनुसरहीं॥ ५ ॥
"ब्रह्मा, विष्णु, शिव, कवि और पण्डितोंकी वाणी भी संत-महिमाका वर्णन करनेमें सकुचाती है; वह मुझसे किस प्रकार नहीं कही जाती, जैसे साग-तरकारी बेचनेवालेसे मणियोंके गुणसमूह नहीं कहे जा सकते॥ ६ ॥",सो मो सन कहि जात न कैसें। साक बनिक मनि गुन गन जैसें॥ ६ ॥
"मैं संतोंको प्रणाम करता हूँ, जिनके चित्तमें समता है, जिनका न कोई मित्र है और न शत्रु! जैसे अज्जलिमें रखे हुए सुन्दर फूल [जिस हाथने फूलोंको तोड़ा और जिसने उनको रखा उन ] दोनों ही हाथोंको समानरूपसे सुगन्धित करते हैं [वैसे ही संत शत्रु और मित्र दोनोंका ही समानरूपसे कल्याण करते हैं ]॥ ३ (क) ॥",अंजलि गत सुभ सुमन जिमि सम सुगंध कर दोड़॥ ३ (क) ॥
"संत सरलहृदय और जगत्‌के हितकारी होते हैं, उनके ऐसे स्वभाव और स्नेहको जानकर मैं विनय करता हूँ, मेरी इस बाल-विनयको सुनकर कृपा करके श्रीरामजीके चरणोंमें मुझे प्रीति दें॥ ३ (ख) ॥",बालबिनय सुनि करि कृपा राम चरन रति देहु॥ ३ (ख) ॥
"अब मैं सच्चे भावसे दुष्टोंको प्रणाम करता हूँ, जो बिना ही प्रयोजन, अपना हित करनेवालेके भी प्रतिकूल आचरण करते हैं। दूसरोंक हितकी हानि ही जिनकी दृष्टिमें लाभ है, जिनको दूसरोंके उजड़नेमें हर्ष और बसनेमें विषाद होता है॥ १ ॥",पर हित हानि लाभ जिन्ह केरें। उजरें हरष बिषाद बरसेरें॥ १ ॥
"जो हरि और हरके यशरूपी पूर्णिमाके चन्द्रमाके लिये राहुके समान हैं( अर्थात्‌ जहाँ कहीं भगवान्‌ विष्णु या शल्डूरके यशका वर्णन होता है, उसीमें वे बाधा देते हैं) और दूसरोंकी बुराई करनेमें सहस्नबाहुके समान वीर हैं। जो दूसरोंके दोषोंको हजार आँखोंसे देखते हैं और दूसरोंके हितरूपी घीके लिये जिनका मन मक्खीके समान है(अर्थात्‌ जिस प्रकार मक्खी घीमें गिरकर उसे खराब कर देती है और स्वयं भी मर जाती है, उसी प्रकार दुष्ट लोग दूसरोंके बने-बनाये कामको अपनी हानि करके भी बिगाड़ देते हैं)॥ २ ॥",जे पर दोष लखहिं सहसाखी। पर हित घृत जिन्ह के मन माखी॥ २ ॥
"जो तेज (दूसरोंको जलानेवाले ताप) में अग्नि और क्रोधमें यमराजके समान हैं, पाप और अवगुणरूपी धनमें कुबेरके समान धनी हैं, जिनकी बढ़ती सभीके हितका नाश करनेके लिये केतु (पुच्छल तारे) के समान है, और जिनके कुम्भकर्णकी तरह सोते रहनेमें ही भलाई है॥ ३ ॥",उदय केत सम हित सब ही के। कुंभभरन सम सोवत नीके॥ ३ ॥
"जैसे ओले खेतीका नाश करके आप भी गल जाते हैं, वैसे ही वे दूसरोंका काम बिगाड़नेके लिये अपना शरीरतक छोड़ देते हैं। मैं दुष्टोंकी [हजार मुखवाले] शेषजीके समान समझकर प्रणाम करता हूँ, जो पराये दोषोंका हजार मुखोंसे बड़े रोषके साथ वर्णन करते हैं॥ ४ ॥",बंद खल जस सेष सरोषा। सहस बदन बरनइ पर दोषा॥ ४ ॥
"पुनः उनको राजा पृथु (जिन्होंने भगवान्‌ूका यश सुननेके लिये दस हजार कान माँगे थे) के समान जानकर प्रणाम करता हूँ, जो दस हजार कानोंसे दूसरोंके पापोंको सुनते हैं। फिर इन्द्रके समान मानकर उनकी विनय करता हूँ, जिनको सुरा (मदिरा) नीकी और हितकारी मालूम देती है [इन्द्रके लिये भी सुरानीक अर्थात्‌ देवताओंकी सेना हितकारी है]॥ ५ ॥",बहुरि सक्र सम बिनव्ेँ तेही। संतत सुरानीक हित जेही॥ ५ ॥
जिनको कठोर वचनरूपी वज्र सदा प्यारा लगता है और जो हजार आँखोंसे दूसरोंके दोषोंको देखते हैं॥ ६ ॥,बचन बज्र जेहि सदा पिआरा। सहस नयन पर दोष निहारा॥ ६ ॥
"दुष्टोंकी यह रीति है कि वे उदासीन, शत्रु अथवा मित्र, किसीका भी हित सुनकर जलते हैं। यह जानकर दोनों हाथ जोड़कर यह जन प्रेमपूर्वक उनसे विनय करता है॥ ४ ॥",जानि पानि जुग जोरि जन बिनती करइक्‍ सप्रीति॥ ४ ॥
"मैंने अपनी ओरसे विनती की है, परन्तु वे अपनी ओरसे कभी नहीं चूकेंगे। कौओंको बड़े प्रेमसे पालिये; परन्तु वे क्या कभी मांसके त्यागी हो सकते हैं ?॥ १ ॥",बायस पलिअहिं अति अनुरागा। होहिं निरामिष कबहुँ कि कागा॥ १ ॥
"अब मैं संत और असंत दोनोंके चरणोंकी वन्दना करता हूँ; दोनों ही दुःख देनेवाले हैं, परन्तु उनमें कुछ अन्तर कहा गया है। वह अन्तर यह है कि एक (संत) तो बिछुड़ते समय प्राण हर लेते हैं और दूसरे (असंत) मिलते हैं तब दारुण दुःख देते हैं। (अर्थात्‌ संतोंका बिछुड़ना मरनेके समान दुःखदायी होता है और असंतोंका मिलना)॥ २ ॥",बिछुरत एक प्रान हरि लेहीं। मिलत एक दुख दारुन देहीं॥ २ ॥
"दोनों (संत और असंत) जगत्‌में एक साथ पैदा होते हैं; पर [एक साथ पैदा होनेवाले] कमल और जोंककी तरह उनके गुण अलग-अलग होते हैं। (कमल दर्शन और स्पर्शसे सुख देता है, किन्तु जोंक शरीरका स्पर्श पाते ही रक्त चूसने लगती है।) साधु अमृतके समान (मृत्युरूपी संसारसे उबारनेवाला) और असाधु मदिराके समान (मोह,प्रमाद और जड़ता उत्पन्न करनेवाला) है, दोनोंको उत्पन्न करनेवाला जगद्रूपी अगाध समुद्र एक ही है। [शास्त्रोंमें समुद्रमन्थनसे ही अमृत और मदिरा दोनोंकी उत्पत्ति बतायी गयी है]॥ ३ ॥",सुधा सुरा सम साधु असाधू। जनक एक जग जलधि अगाधू॥ ३ ॥
"गुन अवगुन जानत सब कोई। जो जेहि भाव नीक तेहि सोई॥ भले और बुरे अपनी-अपनी करनीके अनुसार सुन्दर यश और अपयशकी सम्पत्ति पाते हैं। अमृत, चन्द्रमा, गड़ाजी और साधु एवं विष, अग्नि, कलियुगके पापोंकी नदी अर्थात्‌ कर्मगाशा और हिंसा करनेवाला व्याध, इनके गुण-अवगुण सब कोई जानते हैं; किन्तु जिसे जो भाता है, उसे वही अच्छा लगता है॥ ४-५ ॥",सुधा सुधाकर सुरसरि साधू। गरल अनल कलिमल सरि ब्याधू॥ ४-५ ॥
भला भलाई ही ग्रहण करता है और नीच नीचताको ही ग्रहण किये रहता है। अमृतकी सराहना अमर करनेमें होती है और विषकी मारनेमें॥ ५ ॥,सुधा सराहिअ अमरता गरल सराहिअ मीचु॥ ५ ॥
"दुष्टोंके पापों और अवगुणोंकी और साधुओंके गुणोंकी कथाएँ--दोनों ही अपार और अथाह समुद्र हैं। इसीसे कुछ गुण और दोषोंका वर्णन किया गया है, क्योंकि बिना पहचाने उनका ग्रहण या त्याग नहीं हो सकता॥ १ ॥",तेहि तें कछु गुन दोष बखाने। संग्रह त्याग न बिनु पहिचाने॥ १ ॥
"भले, बुरे सभी ब्रह्माके पैदा किये हुए हैं, पर गुण और दोषोंको विचारकर वेदोंने उनको अलग-अलग कर दिया है। वेद, इतिहास और पुराण कहते हैं कि ब्रह्माकी यह सृष्टि गुण- अवगुणोंसे सनी हुई है॥ २ ॥",कहहिं बेद इतिहास पुराना। बिधि प्रपंचु गुन अवगुन साना॥ २ ॥
"माया ब्रहा जीव जगदीसा। लच्छि अलच्छि रंक अवनीसा॥ कासी मग सुरसरि क्रमनासा। मरू मारव महिदेव गवासा॥ सरग नरक अनुराग बिरागा। निगमागम गुन दोष बिभागा॥ दुःख-सुख, पाप-पुण्य, दिन-रात, साधु-असाधु, सुजाति-कुजाति, दानव-देवता, ऊँच-नीच, अमृत-विष, सुजीवन (सुन्दर जीवन)-मृत्यु, माया-ब्रह्म, जीव-ईश्वर, सम्पत्ति-दरिद्रता, रंक-राजा, काशी-मगध, गड्जा-कर्मनाशा, मारवाड़-मालवा, ब्राह्मण-कसाई, स्वर्ग-नरक, अनुराग-वैराग्य, [ये सभी पदार्थ ब्रह्माकी सृष्टिमें हैं। वेद-शास्त्रोंने उनके गुण-दोषोंका विभाग कर दिया है॥ ३--५ ॥",दानव देव ऊँच अरू नीचू। अमिअ सुजीवनु माहुरु मीचू॥ ३--५ ॥
विधाताने इस जड-चेतन विश्वको गुण-दोषमय रचा है; किन्तु संतरूपी हंस दोषरूपी जलको छोड़कर गुणरूपी दूधको ही ग्रहण करते हैं॥ ६ ॥,संत हंस गुन गहहिं पय परिहरि बारि बिकार॥ ६ ॥
"विधाता जब इस प्रकारका (हंसका-सा) विवेक देते हैं, तब दोषोंको छोड़कर मन गुणोंमें अनुरक्त होता है। काल-स्वभाव और कर्मकी प्रबलतासे भले लोग (साधु) भी मायाके वशमें होकर कभी-कभी भलाईसे चूक जाते हैं॥ १ ॥",काल सुभाउ करम बरिआईं। भलेउ प्रकृति बस चुकड भलाई॥ १ ॥
"भगवान्‌के भक्त जैसे उस चूकको सुधार लेते हैं और दुःख-दोषोंको मिटाकर निर्मल यश देते हैं, वैसे ही दुष्ट भी कभी-कभी उत्तम सड़ पाकर भलाई करते हैं; परन्तु उनका कभी भंग न होनेवाला मलिन स्वभाव नहीं मिटता॥ २ ॥",खलउ करहिं भल पाइ सुसंगू। मिटइ न मलिन सुभाउ अभंगू॥ २ ॥
"जो [वेषधारी ] ठग हैं, उन्हें भी अच्छा (साधुका-सा) वेष बनाये देखकर वेषके प्रतापसे जगत्‌ पूजता है; परन्तु एक-न-एक दिन वे चौड़े आ ही जाते हैं, अन्ततक उनका कपट नहीं निभता, जैसे कालनेमि, रावण और राहुका हाल हुआ॥ ३ ॥",उघरहिं अंत न होइ निबाहू। कालनेमि जिमि रावन राहू॥ ३ ॥
"बुरा वेष बना लेनेपर भी साधुका सम्मान ही होता है, जैसे जगत्‌में जाम्बवान्‌ और हनुमान्‌जीका हुआ। बुरे संगसे हानि और अच्छे संगसे लाभ होता है, यह बात लोक और वेदमें है और सभी लोग इसको जानते हैं॥ ४ ॥",हानि कुसंग सुसंगति लाहू। लोकहूँ बेद बिदित सब काहू॥ ४ ॥
पवनके संगसे धूल आकाशपर चढ़ जाती है और वही नीच (नीचेकी ओर बहनेवाले) जलके संगसे कीचड़में मिल जाती है। साधुके घरके तोता-मैना राम-राम सुमिरते हैं और असाधुके घरके तोता-मैना गिन-गिनकर गालियाँ देते हैं॥ ५ ॥,साधु असाधु सदन सुक सारीं। सुमिरहिं राम देहिं गनि गारीं॥ ५ ॥
"कुसंगके कारण धुआँ कालिख कहलाता है, वही धुआँ [सुसंगसे ] सुन्दर स्याही होकर पुराण लिखनेके काममें आता है और वही धुआँ जल, अग्नि और पवनके संगसे बादल होकर जगत्‌को जीवन देनेवाला बन जाता है॥ ६ ॥",सोइ जल अनल अनिल संघाता। होइ जलद जग जीवन दाता॥ ६ ॥
"ग्रह, ओषधि, जल, वायु और वस्त्र--ये सब भी कुसंग और सुसंग पाकर संसारमें बुरे और भले पदार्थ हो जाते हैं। चतुर एवं विचारशील पुरुष ही इस बातको जान पाते हैं॥ ७ (क) ॥",होहिं कुबस्तु सुबस्तु जग लखहिं सुलच्छन लोग॥ ७ (क) ॥
"महीनेके दोनों पखवाड़ोंमें उजियाला और अँधेरा समान ही रहता है, परन्तु विधाताने इनके  नाममें भेद कर दिया है (एकका नाम शुक्ल और दूसरेका नाम कृष्ण रख दिया)। एकको चन्द्रमाका  बढ़ानेवाला और दूसरेको उसका घटानेवाला समझकर जगत्‌ने एककों सुयश और दूसरेको अपयश दे दिया॥ ७ (ख) ॥",ससि सोषक पोषक समुझि जग जस अपजस दीन्ह॥ ७ (ख) ॥
"जगतूमें जितने जड़ और चेतन जीव हैं, सबको राममय जानकर मैं उन सबके चरणकमलोंकी सदा दोनों हाथ जोड़कर वन्दना करता हूँ॥ ७ (ग) ॥",बंदर्ड सब के पद कमल सदा जोरि जुग पानि॥ ७ (ग) ॥
"देवता, दैत्य, मनुष्य, नाग, पक्षी, प्रेत, पितर, गन्धर्व, किन्नर और निशाचर सबको मैं प्रणाम करता हूँ। अब सब मुझपर कृपा कीजिये॥ ७ (घ) ॥",बंदर किनर रजनिचर कृपा करहु अब सर्ब॥ ७ (घ) ॥
"चौरासी लाख योनियोंमें चार प्रकारके (स्वेदज, अण्डज, उद्धिज, जरायुज) जीव जल, पृथ्वी और आकाशमें रहते हैं, उन सबसे भरे हुए इस सारे जगत्‌को श्रीसीताराममय जानकर मैं दोनों हाथ जोड़कर प्रणाम करता हूँ॥ १ ॥",सीय राममय सब जग जानी। करखँ प्रनाम जोरि जुग पानी॥ १ ॥
"मुझको अपना दास जानकर कृपाकी खान आप सब लोग मिलकर छल छोड़कर कृपा कीजिये। मुझे अपने बुद्धि-बलका भरोसा नहीं है, इसीलिये मैं सबसे विनती करता हूँ॥ २ ॥",निज बुधि बल भरोस मोहि नाहीं। तातें बिनय करडँ सब पाहीं॥ २ ॥
"मैं श्रीरघुनाथजीके गुणोंका वर्णन करना चाहता हूँ, परन्तु मेरी बुद्धि छोटी है और श्रीरामजीका चरित्र अथाह है। इसके लिये मुझे उपायका एक भी अंग अर्थात्‌ कुछ (लेशमात्र) भी उपाय नहीं सूझता। मेरे मन और बुद्धि कंगाल हैं, किन्तु मनोरथ राजा है॥ ३ ॥",सूझ न एकउ अंग उपाऊ। मन मति रंक मनोरथ राऊ॥ ३ ॥
"मेरी बुद्धि तो अत्यन्त नीची है और चाह बड़ी ऊँची है; चाह तो अमृत पानेकी है, पर जगत्‌में जुड़ती छाछ भी नहीं। सज्जन मेरी ढिठाईको क्षमा करेंगे और मेरे बालवचनोंको मन लगाकर (प्रेमपूर्वक) सुनेंगे॥ ४ ॥",छमिहहिं सज्जन मोरि ढिठाई। सुनिहहिं बालबचन मन लाई॥ ४ ॥
"जैसे बालक जब तोतले वचन बोलता है तो उसके माता-पिता उन्हें प्रसन्न मनसे सुनते हैं। किन्तु क्रूर, कुटिल और बुरे विचारवाले लोग जो दूसरोंके दोषोंको ही भूषणरूपसे धारण किये रहते हैं (अर्थात्‌ जिन्हें पराये दोष ही प्यारे लगते हैं), हँसेंगे॥ ५ ॥",हँसिहहिं कूर कुटिल कुबिचारी। जे पर दूषन भूषनधारी॥ ५ ॥
"रसीली हो या अत्यन्त फीकी, अपनी कविता किसे अच्छी नहीं लगती ? किन्तु जो दूसरेकी रचनाको सुनकर हर्षित होते हैं, ऐसे उत्तम पुरुष जगत्‌में बहुत नहीं हैं,॥ ६ ॥",जे पर भनिति सुनत हरषाहीं। ते बर पुरुष बहुत जग नाहीं॥ ६ ॥
